taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID	isMarine	isFreshwater	isTerrestrial	isExtinct	isBrackish	vernacularName	source	language	isPreferredName
urn:lsid:marinespecies.org:taxname:100204	urn:lsid:marinespecies.org:taxname:100204	urn:lsid:marinespecies.org:taxname:100204	urn:lsid:marinespecies.org:taxname:100070		Tulostoma	Tulostoma	Agaricaceae	Persoon, C. H. (1794). Neuer Versuch einer systematischen Eintheilung der Schwämme. <em>In: Römer, J.(ed.), Neues Magazin für die Botanik.</em> 1: 63-137.	1794	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma				Genus	Pers., 1794	ICN	accepted		2009-12-10	Index Fungorum Partnership (2023). Index Fungorum. Tulostoma Pers., 1794. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100204	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100204						1		1			styltesopp	PESI (A Pan-European Species directories Infrastructure) focal points	NOB	0
urn:lsid:marinespecies.org:taxname:100204	urn:lsid:marinespecies.org:taxname:100204	urn:lsid:marinespecies.org:taxname:100204	urn:lsid:marinespecies.org:taxname:100070		Tulostoma	Tulostoma	Agaricaceae	Persoon, C. H. (1794). Neuer Versuch einer systematischen Eintheilung der Schwämme. <em>In: Römer, J.(ed.), Neues Magazin für die Botanik.</em> 1: 63-137.	1794	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma				Genus	Pers., 1794	ICN	accepted		2009-12-10	Index Fungorum Partnership (2023). Index Fungorum. Tulostoma Pers., 1794. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100204	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100204						1		1			styltresopp	PESI (A Pan-European Species directories Infrastructure) focal points	NNO	0
urn:lsid:marinespecies.org:taxname:100276	urn:lsid:marinespecies.org:taxname:100276	urn:lsid:marinespecies.org:taxname:100276	urn:lsid:marinespecies.org:taxname:100092		Mollisia palustris	Mollisia palustris	Mollisia			Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Mollisia		palustris		Species	(Roberge ex Desm.) P. Karst, 1871	ICN	accepted		2004-12-21	Index Fungorum Partnership (2023). Index Fungorum. Mollisia palustris (Roberge ex Desm.) P. Karst, 1871. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100276	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100276						1					moerasmollisia	PESI (A Pan-European Species directories Infrastructure) focal points	DUT	0
urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100167		Claviceps purpurea	Claviceps purpurea	Claviceps			Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps		purpurea		Species	(Fr.:Fr.)Tul., 1883	ICN	accepted		2004-12-21	Index Fungorum Partnership (2023). Index Fungorum. Claviceps purpurea (Fr.:Fr.)Tul., 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100428	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100428						1	1	1		1	cavdar mahmuzu	PESI (A Pan-European Species directories Infrastructure) focal points	TUR	0
urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100167		Claviceps purpurea	Claviceps purpurea	Claviceps			Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps		purpurea		Species	(Fr.:Fr.)Tul., 1883	ICN	accepted		2004-12-21	Index Fungorum Partnership (2023). Index Fungorum. Claviceps purpurea (Fr.:Fr.)Tul., 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100428	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100428						1	1	1		1	echt moederkoren	PESI (A Pan-European Species directories Infrastructure) focal points	DUT	0
urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100428	urn:lsid:marinespecies.org:taxname:100167		Claviceps purpurea	Claviceps purpurea	Claviceps			Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps		purpurea		Species	(Fr.:Fr.)Tul., 1883	ICN	accepted		2004-12-21	Index Fungorum Partnership (2023). Index Fungorum. Claviceps purpurea (Fr.:Fr.)Tul., 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100428	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100428						1	1	1		1	mjöldryga	PESI (A Pan-European Species directories Infrastructure) focal points	SWE	0
urn:lsid:marinespecies.org:taxname:100431	urn:lsid:marinespecies.org:taxname:100431	urn:lsid:marinespecies.org:taxname:100431	urn:lsid:marinespecies.org:taxname:100169		Nectria inventa	Nectria inventa	Nectria			Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria		inventa		Species	Pethybr., 1919	ICN	accepted		2004-12-21	Index Fungorum Partnership (2023). Index Fungorum. Nectria inventa Pethybr., 1919. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100431	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100431						1					grondmeniezwammetje	PESI (A Pan-European Species directories Infrastructure) focal points	DUT	0
urn:lsid:marinespecies.org:taxname:100440	urn:lsid:marinespecies.org:taxname:100440	urn:lsid:marinespecies.org:taxname:100440	urn:lsid:marinespecies.org:taxname:100176		Ascobolus crenulatus	Ascobolus crenulatus	Ascobolus			Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus		crenulatus		Species	P. Karst, 1868	ICN	accepted		2004-12-21	Index Fungorum Partnership (2023). Index Fungorum. Ascobolus crenulatus P. Karst, 1868. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100440	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100440						1					olijfgeel spikkelschijfje	PESI (A Pan-European Species directories Infrastructure) focal points	DUT	0
urn:lsid:marinespecies.org:taxname:100459	urn:lsid:marinespecies.org:taxname:100459	urn:lsid:marinespecies.org:taxname:100459	urn:lsid:marinespecies.org:taxname:100186		Coniochaeta ligniaria	Coniochaeta ligniaria	Coniochaeta			Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta		ligniaria		Species	(Grev.) Massee, 1887	ICN	accepted		2004-12-21	Index Fungorum Partnership (2023). Index Fungorum. Coniochaeta ligniaria (Grev.) Massee, 1887. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100459	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100459						1					houtkorrelkernzwam	PESI (A Pan-European Species directories Infrastructure) focal points	DUT	0
urn:lsid:marinespecies.org:taxname:100478	urn:lsid:marinespecies.org:taxname:100478	urn:lsid:marinespecies.org:taxname:100478	urn:lsid:marinespecies.org:taxname:100201		Inocybe decipiens	Inocybe decipiens	Inocybe			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe		decipiens		Species	Bres., 1892	ICN	accepted		2009-12-09	Index Fungorum Partnership (2023). Index Fungorum. Inocybe decipiens Bres., 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100478	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100478						1					bedrieglijke vezelkop	PESI (A Pan-European Species directories Infrastructure) focal points	DUT	0
urn:lsid:marinespecies.org:taxname:100478	urn:lsid:marinespecies.org:taxname:100478	urn:lsid:marinespecies.org:taxname:100478	urn:lsid:marinespecies.org:taxname:100201		Inocybe decipiens	Inocybe decipiens	Inocybe			Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe		decipiens		Species	Bres., 1892	ICN	accepted		2009-12-09	Index Fungorum Partnership (2023). Index Fungorum. Inocybe decipiens Bres., 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100478	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100478						1					pudertråding	PESI (A Pan-European Species directories Infrastructure) focal points	SWE	0
urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:20296		Acanthocephalus lucii	Acanthocephalus lucii	Acanthocephalus			Animalia	Acanthocephala	Palaeacanthocephala	Echinorhynchida	Paracanthocephalidae	Acanthocephalus		lucii		Species	(Müller, 1776) Lühe, 1911	ICZN	accepted		2019-11-20	Gibson, D.; Wayland, M. (2023). World List of marine Acanthocephala. Acanthocephalus lucii (Müller, 1776) Lühe, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587						1	1				Fischkratzer	Cole, T. C. H. (2017). Wörterbuch der Wirbellosen / Dictionary of Invertebrates. Latein-Deutsch-English. <em>2017.</em> Springer Spektrum: Berlin. ISBN 978-3-662-52869-3. XII, 574 pp.	DEU	0
urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:20296		Acanthocephalus lucii	Acanthocephalus lucii	Acanthocephalus			Animalia	Acanthocephala	Palaeacanthocephala	Echinorhynchida	Paracanthocephalidae	Acanthocephalus		lucii		Species	(Müller, 1776) Lühe, 1911	ICZN	accepted		2019-11-20	Gibson, D.; Wayland, M. (2023). World List of marine Acanthocephala. Acanthocephalus lucii (Müller, 1776) Lühe, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587						1	1				fish acanthocephalan	Cole, T. C. H. (2017). Wörterbuch der Wirbellosen / Dictionary of Invertebrates. Latein-Deutsch-English. <em>2017.</em> Springer Spektrum: Berlin. ISBN 978-3-662-52869-3. XII, 574 pp.	ENG	0
urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:20296		Acanthocephalus lucii	Acanthocephalus lucii	Acanthocephalus			Animalia	Acanthocephala	Palaeacanthocephala	Echinorhynchida	Paracanthocephalidae	Acanthocephalus		lucii		Species	(Müller, 1776) Lühe, 1911	ICZN	accepted		2019-11-20	Gibson, D.; Wayland, M. (2023). World List of marine Acanthocephala. Acanthocephalus lucii (Müller, 1776) Lühe, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587						1	1				spiny-headed worm	Cole, T. C. H. (2017). Wörterbuch der Wirbellosen / Dictionary of Invertebrates. Latein-Deutsch-English. <em>2017.</em> Springer Spektrum: Berlin. ISBN 978-3-662-52869-3. XII, 574 pp.	ENG	0
urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:100587	urn:lsid:marinespecies.org:taxname:20296		Acanthocephalus lucii	Acanthocephalus lucii	Acanthocephalus			Animalia	Acanthocephala	Palaeacanthocephala	Echinorhynchida	Paracanthocephalidae	Acanthocephalus		lucii		Species	(Müller, 1776) Lühe, 1911	ICZN	accepted		2019-11-20	Gibson, D.; Wayland, M. (2023). World List of marine Acanthocephala. Acanthocephalus lucii (Müller, 1776) Lühe, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100587						1	1				thorny-headed worm of fish	Cole, T. C. H. (2017). Wörterbuch der Wirbellosen / Dictionary of Invertebrates. Latein-Deutsch-English. <em>2017.</em> Springer Spektrum: Berlin. ISBN 978-3-662-52869-3. XII, 574 pp.	ENG	0
urn:lsid:marinespecies.org:taxname:1006384	urn:lsid:marinespecies.org:taxname:1006384	urn:lsid:marinespecies.org:taxname:1006384	urn:lsid:marinespecies.org:taxname:138631		Velutina pusio	Velutina pusio	Velutina	Adams, A. (1860). On some new genera and species of Mollusca from Japan. <em>Annals and Magazine of Natural History.</em> (3) 5: 299-303 [1 April 1860]; 405-413 [1 May 1860].	1860	Animalia	Mollusca	Gastropoda	Littorinimorpha	Velutinidae	Velutina		pusio		Species	A. Adams, 1860	ICZN	accepted		2017-06-29	MolluscaBase eds. (2023). MolluscaBase. Velutina pusio A. Adams, 1860. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1006384	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1006384						1					ハナヅトガイ	Japan Agency for Marine-Earth Science and Technology. (2009 onwards). Biological Information System for Marine Life (BISMaL). Accessed on 2018-11-21.	JPN	0
urn:lsid:marinespecies.org:taxname:1006386	urn:lsid:marinespecies.org:taxname:1006386	urn:lsid:marinespecies.org:taxname:1006386	urn:lsid:marinespecies.org:taxname:138631		Velutina abyssicola	Velutina abyssicola	Velutina			Animalia	Mollusca	Gastropoda	Littorinimorpha	Velutinidae	Velutina		abyssicola		Species	Okutani, 1964	ICZN	accepted		2017-06-29	MolluscaBase eds. (2023). MolluscaBase. Velutina abyssicola Okutani, 1964. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1006386	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1006386						1					フカミハナヅトガイ	Japan Agency for Marine-Earth Science and Technology. (2009 onwards). Biological Information System for Marine Life (BISMaL). Accessed on 2018-11-21.	JPN	0
urn:lsid:marinespecies.org:taxname:100650	urn:lsid:marinespecies.org:taxname:100650	urn:lsid:marinespecies.org:taxname:100650	urn:lsid:marinespecies.org:taxname:888372		Actinernidae	Actinernidae	Actinernoidea	Stephenson, T. A. (1922). On the classification of Actiniaria. Part III. -- Definitions connected with the forms dealt with in Part II. Quarterly Journal of Microscopical Science, 66, 2, (262): 247-319	1922	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinernidae					Family	Stephenson, 1922	ICZN	accepted		2016-10-22	Rodríguez, E.; Fautin, D; Daly, M. (2023). World List of Actiniaria. Actinernidae Stephenson, 1922. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100650	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100650						1					ヤツバカワリギンチャク科	Japan Agency for Marine-Earth Science and Technology. (2009 onwards). Biological Information System for Marine Life (BISMaL). Accessed on 2018-11-21.	JPN	0
urn:lsid:marinespecies.org:taxname:100653	urn:lsid:marinespecies.org:taxname:100653	urn:lsid:marinespecies.org:taxname:100653	urn:lsid:marinespecies.org:taxname:853973		Actiniidae	Actiniidae	Actinioidea			Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae					Family	Rafinesque, 1815	ICZN	accepted		2017-05-06	Rodríguez, E.; Fautin, D; Daly, M. (2023). World List of Actiniaria. Actiniidae Rafinesque, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100653	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100653						1					ウメボシイソギンチャク科	Japan Agency for Marine-Earth Science and Technology. (2009 onwards). Biological Information System for Marine Life (BISMaL). Accessed on 2018-11-21.	JPN	0
